long	lat	elev	station	year	month	day	max	min	total_ppt
-122.59	58.83	309.00	0002846	1971	01	01	-15.83	-24.74	1.04
-122.59	58.83	309.00	0002846	1971	01	02	-16.92	-25.32	0.54
-122.59	58.83	309.00	0002846	1971	01	03	-17.93	-25.73	0.62
-122.59	58.83	309.00	0002846	1971	01	04	-18.06	-25.86	0.68
-122.59	58.83	309.00	0002846	1971	01	05	-17.65	-26.12	0.63
-122.59	58.83	309.00	0002846	1971	01	06	-16.93	-25.72	0.74
-122.59	58.83	309.00	0002846	1971	01	07	-18.77	-26.76	0.72
-122.59	58.83	309.00	0002846	1971	01	08	-19.25	-27.49	0.78
-122.59	58.83	309.00	0002846	1971	01	09	-19.28	-27.63	0.78
-122.59	58.83	309.00	0002846	1971	01	10	-19.36	-27.64	0.86
-122.59	58.83	309.00	0002846	1971	01	11	-18.97	-27.02	1.00
-122.59	58.83	309.00	0002846	1971	01	12	-18.13	-25.80	1.36
-122.59	58.83	309.00	0002846	1971	01	13	-18.35	-26.26	0.82
-122.59	58.83	309.00	0002846	1971	01	14	-18.24	-26.93	0.79
-122.59	58.83	309.00	0002846	1971	01	15	-17.94	-26.42	0.71
-122.59	58.83	309.00	0002846	1971	01	16	-18.70	-26.90	0.64
-122.59	58.83	309.00	0002846	1971	01	17	-16.98	-26.09	0.65
-122.59	58.83	309.00	0002846	1971	01	18	-15.62	-24.18	0.63
-122.59	58.83	309.00	0002846	1971	01	19	-14.40	-23.08	0.91
-122.59	58.83	309.00	0002846	1971	01	20	-12.29	-22.54	0.32
-122.59	58.83	309.00	0002846	1971	01	21	-13.37	-22.53	0.50
-122.59	58.83	309.00	0002846	1971	01	22	-13.91	-22.87	0.42
-122.59	58.83	309.00	0002846	1971	01	23	-13.73	-22.98	0.83
-122.59	58.83	309.00	0002846	1971	01	24	-14.61	-22.51	1.00
-122.59	58.83	309.00	0002846	1971	01	25	-13.72	-23.47	0.86
-122.59	58.83	309.00	0002846	1971	01	26	-13.20	-22.86	0.92
-122.59	58.83	309.00	0002846	1971	01	27	-14.39	-23.81	0.95
-122.59	58.83	309.00	0002846	1971	01	28	-14.57	-24.23	0.70
-122.59	58.83	309.00	0002846	1971	01	29	-13.76	-23.88	0.44
-122.59	58.83	309.00	0002846	1971	01	30	-12.78	-23.43	0.29
-122.59	58.83	309.00	0002846	1971	01	31	-14.38	-24.13	0.36
-122.59	58.83	309.00	0002846	1971	02	01	-14.04	-23.51	0.54
-122.59	58.83	309.00	0002846	1971	02	02	-13.02	-23.98	0.61
-122.59	58.83	309.00	0002846	1971	02	03	-12.72	-22.85	0.61
-122.59	58.83	309.00	0002846	1971	02	04	-12.60	-22.91	0.71
-122.59	58.83	309.00	0002846	1971	02	05	-10.19	-22.18	0.39
-122.59	58.83	309.00	0002846	1971	02	06	-8.87	-20.28	0.35
-122.59	58.83	309.00	0002846	1971	02	07	-8.25	-19.57	0.64
-122.59	58.83	309.00	0002846	1971	02	08	-10.26	-21.45	0.44
-122.59	58.83	309.00	0002846	1971	02	09	-12.86	-23.24	0.46
-122.59	58.83	309.00	0002846	1971	02	10	-12.51	-23.59	0.44
-122.59	58.83	309.00	0002846	1971	02	11	-13.33	-23.78	0.85
-122.59	58.83	309.00	0002846	1971	02	12	-13.86	-23.29	0.63
-122.59	58.83	309.00	0002846	1971	02	13	-13.27	-23.30	0.80
-122.59	58.83	309.00	0002846	1971	02	14	-12.64	-22.95	0.60
-122.59	58.83	309.00	0002846	1971	02	15	-12.53	-22.61	0.77
-122.59	58.83	309.00	0002846	1971	02	16	-11.08	-22.87	0.84
-122.59	58.83	309.00	0002846	1971	02	17	-10.81	-21.78	0.65
-122.59	58.83	309.00	0002846	1971	02	18	-8.68	-20.65	0.83
-122.59	58.83	309.00	0002846	1971	02	19	-8.12	-19.51	0.93
-122.59	58.83	309.00	0002846	1971	02	20	-8.26	-20.61	0.51
-122.59	58.83	309.00	0002846	1971	02	21	-7.68	-20.14	0.42
-122.59	58.83	309.00	0002846	1971	02	22	-7.88	-18.94	0.58
-122.59	58.83	309.00	0002846	1971	02	23	-7.08	-19.04	0.78
-122.59	58.83	309.00	0002846	1971	02	24	-6.87	-19.21	0.87
-122.59	58.83	309.00	0002846	1971	02	25	-5.96	-18.51	0.66
-122.59	58.83	309.00	0002846	1971	02	26	-4.22	-17.85	0.84
-122.59	58.83	309.00	0002846	1971	02	27	-4.48	-17.84	0.39
-122.59	58.83	309.00	0002846	1971	02	28	-4.27	-17.67	0.41
-122.59	58.83	309.00	0002846	1971	03	01	-6.65	-18.57	0.46
-122.59	58.83	309.00	0002846	1971	03	02	-5.12	-18.78	0.49
