Long	Lat	Station	Year	Month	Day	Tmax	Tmin	Precip
71.85	46.98	1234567	2003	1	1	10	5	0
71.85	46.98	1234567	2003	1	2	10	5	0
71.85	46.98	1234567	2003	1	3	10	5	0
71.85	46.98	1234567	2003	1	4	10	5	0
71.85	46.98	1234567	2003	1	5	10	5	0
71.85	46.98	1234567	2003	1	6	10	5	0
71.85	46.98	1234567	2003	1	7	10	5	0
71.85	46.98	1234567	2003	1	8	10	5	0
71.85	46.98	1234567	2003	1	9	10	5	0
71.85	46.98	1234567	2003	1	10	10	5	0
71.85	46.98	1234567	2003	1	11	10	5	0
71.85	46.98	1234567	2003	1	12	10	5	0
71.85	46.98	1234567	2003	1	13	10	5	0
71.85	46.98	1234567	2003	1	14	10	5	0
71.85	46.98	1234567	2003	1	15	10	5	0
71.85	46.98	1234567	2003	1	16	10	5	0
71.85	46.98	1234567	2003	1	17	10	5	0
71.85	46.98	1234567	2003	1	18	10	5	0
71.85	46.98	1234567	2003	1	19	10	5	0
71.85	46.98	1234567	2003	1	20	10	5	0
71.85	46.98	1234567	2003	1	21	10	5	0
71.85	46.98	1234567	2003	1	22	10	5	0
71.85	46.98	1234567	2003	1	23	10	5	0
71.85	46.98	1234567	2003	1	24	10	5	0
71.85	46.98	1234567	2003	1	25	10	5	0
71.85	46.98	1234567	2003	1	26	10	5	0
71.85	46.98	1234567	2003	1	27	10	5	0
71.85	46.98	1234567	2003	1	28	10	5	0
71.85	46.98	1234567	2003	1	29	10	5	0
71.85	46.98	1234567	2003	1	30	10	5	0
71.85	46.98	1234567	2003	1	31	10	5	0
71.85	46.98	1234567	2003	2	1	10	5	0
71.85	46.98	1234567	2003	2	2	10	5	0
71.85	46.98	1234567	2003	2	3	10	5	0
71.85	46.98	1234567	2003	2	4	10	5	0
71.85	46.98	1234567	2003	2	5	10	5	0
71.85	46.98	1234567	2003	2	6	10	5	0
71.85	46.98	1234567	2003	2	7	10	5	0
71.85	46.98	1234567	2003	2	8	10	5	0
71.85	46.98	1234567	2003	2	9	10	5	0
71.85	46.98	1234567	2003	2	10	10	5	0
71.85	46.98	1234567	2003	2	11	10	5	0
71.85	46.98	1234567	2003	2	12	10	5	0
71.85	46.98	1234567	2003	2	13	10	5	0
71.85	46.98	1234567	2003	2	14	10	5	0
71.85	46.98	1234567	2003	2	15	10	5	0
71.85	46.98	1234567	2003	2	16	10	5	0
71.85	46.98	1234567	2003	2	17	10	5	0
71.85	46.98	1234567	2003	2	18	10	5	0
71.85	46.98	1234567	2003	2	19	10	5	0
71.85	46.98	1234567	2003	2	20	10	5	0
71.85	46.98	1234567	2003	2	21	10	5	0
71.85	46.98	1234567	2003	2	22	10	5	0
71.85	46.98	1234567	2003	2	23	10	5	0
71.85	46.98	1234567	2003	2	24	10	5	0
71.85	46.98	1234567	2003	2	25	10	5	0
71.85	46.98	1234567	2003	2	26	10	5	0
71.85	46.98	1234567	2003	2	27	10	5	0
71.85	46.98	1234567	2003	2	28	10	5	0
