--- #YAML
Title: "1971 weather observations test data"
Geography: "stations"
Framework: "Environment Canada"
Timeframe: "1971"
Origin: "Observations"
Description: "Environment Canada's weather observations from station data observed during the first few days of 1971."
--- #TSV
long	lat	elev	station	year	month	day	tmax	tmin	total_ppt
-122.39	49.03	54.00	42708	1971	01	01	4.81	-1.01	5.35
-122.39	49.03	54.00	42708	1971	01	02	4.52	-1.44	5.02
-122.39	49.03	54.00	42708	1971	01	03	4.24	-1.38	8.65
-122.39	49.03	54.00	42708	1971	01	04	3.93	-1.63	4.61
-122.39	49.03	54.00	42708	1971	01	05	3.98	-2.14	2.77
-122.39	49.03	54.00	42708	1971	01	06	3.80	-2.39	4.56
-122.39	49.03	54.00	42708	1971	01	07	4.62	-1.60	6.24
-122.39	49.03	54.00	42708	1971	01	08	4.98	-0.48	5.06
-122.39	49.03	54.00	42708	1971	01	09	4.84	-0.22	6.76
-122.39	49.03	54.00	42708	1971	01	10	4.96	-0.37	6.73
-122.39	49.03	54.00	42708	1971	01	11	4.93	-0.56	6.31
-122.39	49.03	54.00	42708	1971	01	12	5.39	-0.26	5.32
-122.39	49.03	54.00	42708	1971	01	13	5.74	0.05	7.83
-122.39	49.03	54.00	42708	1971	01	14	6.93	0.97	7.90
-122.39	49.03	54.00	42708	1971	01	15	7.24	1.44	6.81
-122.39	49.03	54.00	42708	1971	01	16	6.99	1.39	6.54
-122.39	49.03	54.00	42708	1971	01	17	6.72	1.04	8.14
-122.39	49.03	54.00	42708	1971	01	18	7.07	0.80	5.64
-122.39	49.03	54.00	42708	1971	01	19	6.76	0.61	4.43
-122.39	49.03	54.00	42708	1971	01	20	6.96	0.67	4.51
-122.39	49.03	54.00	42708	1971	01	21	6.40	0.82	5.39
-122.39	49.03	54.00	42708	1971	01	22	6.10	0.59	7.36
-122.39	49.03	54.00	42708	1971	01	23	6.41	0.69	8.45
-122.39	49.03	54.00	42708	1971	01	24	5.97	0.74	6.97
-122.39	49.03	54.00	42708	1971	01	25	5.80	0.30	4.30
-122.39	49.03	54.00	42708	1971	01	26	5.60	-0.27	6.17
-122.39	49.03	54.00	42708	1971	01	27	6.16	0.07	3.42
-122.39	49.03	54.00	42708	1971	01	28	6.30	0.11	4.02
-122.39	49.03	54.00	42708	1971	01	29	6.49	0.30	6.76
-122.39	49.03	54.00	42708	1971	01	30	6.25	0.04	5.88
-122.39	49.03	54.00	42708	1971	01	31	6.58	-0.35	6.05
-122.39	49.03	54.00	42708	1971	02	01	6.59	-0.15	4.37
